IP,Hostname,City,Region,Country,Location,Organization,Postal,Timezone
80.3.44.2,cpc96758-rdng27-2-0-cust1025.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.3,cpc96758-rdng27-2-0-cust1026.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.4,cpc96758-rdng27-2-0-cust1027.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.5,cpc96758-rdng27-2-0-cust1028.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.6,cpc96758-rdng27-2-0-cust1029.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.7,cpc96758-rdng27-2-0-cust1030.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.8,cpc96758-rdng27-2-0-cust1031.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.9,cpc96758-rdng27-2-0-cust1032.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.10,cpc96758-rdng27-2-0-cust1033.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.44.11,cpc96758-rdng27-2-0-cust1034.15-3.cable.virginm.net,Reading,England,GB,"51.4562,-0.9711",AS5089 Virgin Media Limited,RG1,Europe/London
80.3.90.1,cpc107269-cosh15-2-0-gw.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.3,ip-109-44-21-3.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.12,host-88-33-44-12.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.2,cpc107269-cosh15-2-0-cust1.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.4,ip-109-44-21-4.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.13,host-88-33-44-13.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.3,cpc107269-cosh15-2-0-cust2.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.5,ip-109-44-21-5.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.14,host-88-33-44-14.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.4,cpc107269-cosh15-2-0-cust3.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.6,ip-109-44-21-6.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
80.3.90.5,cpc107269-cosh15-2-0-cust4.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.7,ip-109-44-21-7.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.16,host-88-33-44-16.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.6,cpc107269-cosh15-2-0-cust5.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.8,ip-109-44-21-8.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.17,host-88-33-44-17.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.7,cpc107269-cosh15-2-0-cust6.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.9,ip-109-44-21-9.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.18,host-88-33-44-18.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.8,cpc107269-cosh15-2-0-cust7.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.10,ip-109-44-21-10.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.19,host-88-33-44-19.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
80.3.90.9,cpc107269-cosh15-2-0-cust8.6-1.cable.virginm.net,Portsmouth,England,GB,"50.7990,-1.0913",AS5089 Virgin Media Limited,PO5,Europe/London
109.44.21.11,ip-109-44-21-11.web.vodafone.de,Düsseldorf,North Rhine-Westphalia,DE,"51.2217,6.7762",AS3209 Vodafone GmbH,40212,Europe/Berlin
88.33.44.20,host-88-33-44-20.business.telecomitalia.it,Rimini,Emilia-Romagna,IT,"44.0575,12.5653",AS3269 Telecom Italia S.p.A.,47900,Europe/Rome
